rho_443_a,rho_492_a,rho_560_a,rho_665_a,rho_704_a,rho_740_a,rho_783_a,rho_865_a,CHL
0.025450146,0.034353994,0.03884027,0.014968047,0.0112646315,0.007865511,0.007571316,0.006715137,3.2051446
0.0405684,0.050244547,0.04481151,0.013896587,0.009644878,0.003701152,0.0037318855,0.0014223772,1.3968989
0.026594233,0.023411099,0.021074302,0.011757967,0.0097757215,0.007466657,0.0064078798,0.003856461,4.0471606
0.020331021,0.020848846,0.01946513,0.012452523,0.011534284,0.011525789,0.012494617,0.012429752,1.273884
0.051392786,0.047052987,0.039604906,0.018306764,0.015900133,0.013165504,0.011069202,0.007874827,1.4207616
0.057470474,0.062131483,0.05681835,0.021817517,0.015308559,0.009960065,0.008604317,0.0045259534,1.8485141
0.03591057,0.035206918,0.028603312,0.009485313,0.0049884496,0.0046238657,0.0022795952,0.0021209964,1.4806774
0.020044481,0.021387981,0.01843661,0.013022414,0.01347654,0.012780888,0.013596996,0.013517352,2.1465142
0.024768895,0.022910153,0.017327014,0.007867163,0.0072276676,0.005738083,0.0055390783,0.005704464,1.413009
0.027788475,0.029041704,0.026751682,0.010804448,0.008402163,0.0077930074,0.007615797,0.007640551,1.6945106
0.026030619,0.02358051,0.01708712,0.0068315533,0.0060538827,0.0053825895,0.0060325074,0.0055352473,1.0229973
0.045110922,0.05194151,0.06788235,0.057783626,0.059697926,0.033355344,0.032687053,0.018634224,33.322647
0.025173783,0.025718197,0.032177344,0.017168928,0.015420494,0.0152016645,0.015046183,0.014642662,5.741791
0.05827522,0.067398325,0.08937449,0.068059534,0.0668939,0.033853386,0.033965997,0.024151055,19.286833
0.020410325,0.021394592,0.027458051,0.011464893,0.009333471,0.008637234,0.007713613,0.0070377705,4.906068
0.025030596,0.025143627,0.031629145,0.014788162,0.014061059,0.014312138,0.01483685,0.014564444,4.5463123
0.018613523,0.019754093,0.020140847,0.014343424,0.013518456,0.013941473,0.014283943,0.014398322,2.2138765
0.034453228,0.029018786,0.025831742,0.012414823,0.010201999,0.008239857,0.007223819,0.0048935963,3.9584446
0.04059314,0.034633286,0.025454339,0.015647477,0.014020198,0.013514742,0.01355919,0.012945634,1.192656
0.027792152,0.02538225,0.031388175,0.013892175,0.011062359,0.0056671496,0.004628092,0.0017472843,3.823803
0.053098463,0.060569283,0.08564599,0.061106086,0.07200272,0.0380475,0.034484345,0.021922283,27.091383
0.031476572,0.034931675,0.030351376,0.007651674,0.0045607635,0.0017334984,0.0017658592,0.00080091145,1.4563463
0.043369927,0.03647582,0.031411514,0.016197545,0.013930032,0.01179299,0.011271825,0.008180558,1.6443232
0.027174575,0.02568291,0.020080555,0.008847525,0.007142327,0.0060416344,0.006290123,0.005584677,1.0389441
0.023792068,0.023725335,0.030913394,0.017201668,0.01765051,0.018221306,0.018520333,0.018812746,7.196044
0.024538849,0.022915997,0.03079369,0.011942159,0.009589954,0.004774931,0.0041908287,0.00076177955,2.5163627
0.048873667,0.049721,0.048507158,0.017955372,0.014463147,0.008119324,0.0073569296,0.0058792885,2.6609497
0.03682493,0.035636,0.03155191,0.013388518,0.010882848,0.008049396,0.0062725022,0.0039105006,1.7574155
0.024787292,0.020298034,0.018279182,0.010430895,0.008813042,0.0065111076,0.0043361667,0.0026928526,4.610528
0.047164593,0.049435847,0.06375454,0.03798587,0.035282634,0.015890015,0.015144318,0.0075556175,16.311718
0.034649543,0.032447353,0.02748162,0.013619583,0.010760287,0.008511069,0.007158031,0.0042331396,1.8205224
0.03114631,0.024136284,0.021413585,0.0105233,0.0087915035,0.006614676,0.005625865,0.0026745184,4.3363104
0.038564533,0.03925172,0.046775967,0.027601505,0.023647873,0.013955436,0.012100455,0.009579615,5.8123794
0.02618985,0.027711801,0.02586709,0.009254071,0.008103871,0.0076246643,0.008854542,0.008394947,1.5665002
0.044380527,0.047315292,0.045877352,0.016640736,0.013331754,0.009179864,0.008111312,0.005925793,2.4789953
0.055362727,0.051708117,0.042743154,0.019354757,0.016248964,0.013057906,0.011963221,0.008648769,1.292049
0.03252344,0.039750695,0.05288483,0.025377603,0.021084994,0.0107087465,0.010632981,0.007721338,14.129911
0.0854146,0.076694556,0.06678573,0.042595003,0.03739511,0.033864435,0.035121676,0.02991584,3.2122507
0.02403077,0.019924976,0.016598532,0.007823406,0.0063030347,0.0046995454,0.0029835482,0.0005808396,3.9201233
0.026886556,0.025642138,0.030029599,0.017570678,0.017021015,0.017702017,0.01833764,0.017819472,3.2117732
0.033700712,0.037067723,0.031829234,0.009248797,0.0064984383,0.0019323813,0.0021957853,0.002966395,1.4891297
0.025917707,0.020687701,0.018086044,0.009661966,0.008512292,0.005717511,0.004552119,0.002242804,4.239447
0.018644787,0.018107926,0.02160138,0.013627749,0.013743478,0.013060702,0.013758255,0.013791631,4.2817273
0.026099013,0.021488281,0.017403813,0.008570219,0.0067727994,0.00479948,0.003419445,0.0009884629,3.973409
0.02060274,0.024759028,0.027841091,0.016180962,0.014770821,0.01407053,0.01373214,0.011827195,4.739344
0.02846999,0.024191635,0.021110078,0.0124945,0.010499557,0.007713137,0.0068736314,0.004630114,4.292535
0.031884883,0.03141554,0.04426902,0.021913994,0.022086883,0.0089029735,0.008046995,0.002634849,26.222462
0.01975638,0.020616721,0.024077732,0.01591383,0.014066176,0.014417647,0.014191637,0.014333942,4.377903
0.022967212,0.022608375,0.029864032,0.012551719,0.0101892045,0.0042124405,0.004108301,0.00057628454,3.4799414
0.02309943,0.018827671,0.015565266,0.008545146,0.0070636147,0.0060571595,0.003950204,0.0017775086,4.1931105
0.03168025,0.028944097,0.025236975,0.012389196,0.011055576,0.009864264,0.010562868,0.010090209,1.8399807
0.029242024,0.023544878,0.022270648,0.011671719,0.009691708,0.0072696153,0.005999971,0.0032437788,4.79333
0.040114876,0.049695462,0.07032457,0.041882146,0.03721224,0.014929439,0.013149549,0.0061450163,13.284513
0.022387998,0.020980114,0.027022064,0.011850823,0.009723191,0.004211315,0.0034407594,0.00024187328,3.7154841
0.048112888,0.051818654,0.050288465,0.019066583,0.014749702,0.0103151295,0.008456811,0.0069173416,2.489443
0.040529348,0.050080683,0.07017379,0.042114355,0.037908874,0.015055139,0.013605779,0.0062712594,14.760017
0.040607374,0.03007751,0.022836028,0.011970116,0.011097146,0.010370925,0.008248479,0.0068728137,0.97547686
